Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000727656319238768,-0.00248795606878822,0.00405187536302695,0,0,0,1.33664718869457,0.00190560550051393,1.91669363062355E-06,-3.31864086299485E-07,0.00545884398357136,7.79525652270079E-07,0.00658882039902389,0,0,0,0,0,0,package://reddogv2/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddogv2/meshes/base_link.STL,,base^red dog v2-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.0355876629185068,0.0104297571974423,-1.25143906172664E-06,0,0,0,0.13244658699006,3.50241303704785E-05,2.41070757358809E-06,-2.75192841166309E-08,5.77132621959171E-05,4.42180235208329E-10,3.96315319979859E-05,0,0,0,0,0,0,package://reddogv2/meshes/FL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddogv2/meshes/FL_hip.STL,,FL_hip^red dog v2-1,Origin_FL_hip_joint,Axis_FL_hip_joint,FL_hip_joint,continuous,0.127849975000003,0.052569696969697,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
FL_thigh,-9.32235429363104E-05,0.0198920926855151,-0.105758318220205,0,0,0,0.174521378099529,0.00021416651705169,1.96444182029981E-10,-6.51577451275627E-07,0.000243676943896328,-2.54820003452477E-06,4.56954591147624E-05,0,0,0,0,0,0,package://reddogv2/meshes/FL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddogv2/meshes/FL_thigh.STL,,FL_thigh^red dog v2-1,Origin_FL_thigh_joint,Axis_FL_thigh_joint,FL_thigh_joint,continuous,0.038500025,0.0374999999999999,0,0,0,0,FL_hip,0,1,0,,,,,,,,,,,,
FL_calf,-0.013428495259286,0.0108360936840506,-0.0358334117536627,0,0,0,0.0834300223501502,0.00016938065466654,-1.43548155718634E-06,-4.00446573785038E-06,0.000200986275787645,-7.43462546587063E-06,3.75740947863312E-05,0,0,0,0,0,0,package://reddogv2/meshes/FL_calf.STL,0.286274509803922,0.286274509803922,0.286274509803922,1,0,0,0,0,0,0,package://reddogv2/meshes/FL_calf.STL,,FL_calf^red dog v2-1,Origin_FL_calf_joint,Axis_FL_calf_joint,FL_calf_joint,continuous,0,0.0357602928805075,-0.129999999999999,0,0,0,FL_thigh,0,1,0,,,,,,,,,,,,
FL_foot,0.000366800806455597,-4.95675706150278E-05,0.0145916485608115,0,0,0,0.0137559201351316,1.41058278253364E-06,8.61449113802043E-10,-5.12266116402005E-08,1.43632340297693E-06,-3.58991468670442E-09,1.59133877861792E-06,0,0,0,0,0,0,package://reddogv2/meshes/FL_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddogv2/meshes/FL_foot.STL,,FL_foot^red dog v2-1,Origin_FL_foot_joint,Axis_FL_foot_joint,FL_foot_joint,fixed,-0.000126383026934546,0.00527026536374897,-0.156,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.0355876305340386,-0.0104296900294547,-1.28360487369204E-06,0,0,0,0.132446721601043,3.50236308119781E-05,-2.41073160943252E-06,-2.72964152212646E-08,5.77131471301585E-05,-5.34890556977867E-10,3.96320545381734E-05,0,0,0,0,0,0,package://reddogv2/meshes/FR_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddogv2/meshes/FR_hip.STL,,FR_hip^red dog v2-1,Origin_FR_hip_joint,Axis_FR_hip_joint,FR_hip_joint,continuous,0.127849975000003,-0.057430303030303,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
FR_thigh,-9.34411640618749E-05,-0.0198917871738609,-0.105759917098764,0,0,0,0.174525955076108,0.000214183984406214,-3.58970323220072E-10,-6.53208530025193E-07,0.000243702006302027,2.54712634334037E-06,4.57032533860248E-05,0,0,0,0,0,0,package://reddogv2/meshes/FR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddogv2/meshes/FR_thigh.STL,,FR_thigh^red dog v2-1,Origin_FR_thigh_joint,Axis_FR_thigh_joint,FR_thigh_joint,continuous,0.0385000250000001,-0.0374999999999998,0,0,0,0,FR_hip,0,1,0,,,,,,,,,,,,
FR_calf,-0.0134285562239491,-0.0108359518922345,-0.0358324254837319,0,0,0,0.0834305310593336,0.000169389445294302,1.43513447797022E-06,-4.00526139715844E-06,0.000200999880841896,7.43425355428938E-06,3.75787437622037E-05,0,0,0,0,0,0,package://reddogv2/meshes/FR_calf.STL,0.286274509803922,0.286274509803922,0.286274509803922,1,0,0,0,0,0,0,package://reddogv2/meshes/FR_calf.STL,,FR_calf^red dog v2-1,Origin_FR_calf_joint,Axis_FR_calf_joint,FR_calf_joint,continuous,0,-0.0357602928805074,-0.129999999999999,0,0,0,FR_thigh,0,1,0,,,,,,,,,,,,
FR_foot,0.000366713017824122,4.95600060854418E-05,0.0145917714606252,0,0,0,0.0137558565742278,1.4105318088808E-06,-8.63494720003768E-10,-5.12673084303613E-08,1.43632751948518E-06,3.58664224011663E-09,1.59138588005899E-06,0,0,0,0,0,0,package://reddogv2/meshes/FR_foot.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddogv2/meshes/FR_foot.STL,,FR_foot^red dog v2-1,Origin_FR_foot_joint,Axis_FR_foot_joint,FR_foot_joint,fixed,-0.000126383026935517,-0.00527026536374889,-0.156,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
BL_hip,-0.0355876622174587,0.0104297571978488,1.24905298923383E-06,0,0,0,0.132446586986208,3.50241500304354E-05,-2.41070827489792E-06,-2.7135389719264E-08,5.77132621939696E-05,-4.4092285957251E-10,3.96315123360132E-05,0,0,0,0,0,0,package://reddogv2/meshes/BL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddogv2/meshes/BL_hip.STL,,BL_hip^red dog v2-2,Origin_BL_hip_joint,Axis_BL_hip_joint,BL_hip_joint,continuous,-0.128149974999993,0.052569696969696,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
